,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
1859,ProptigerAGENT0,4 BHK,Apartment,Oragadam,Chennai,2804 ,"4,000", 1.12 Cr,Ready to move,AGENT
1860,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,2256 ,"4,000", 90.24 L,Ready to move,AGENT
1861,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1992 ,"4,000", 79.68 L,Ready to move,AGENT
1862,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1927 ,"4,000", 77.08 L,Ready to move,AGENT
1863,ProptigerAGENT0,4 BHK,Apartment,Oragadam,Chennai,2804 ,"4,000", 1.12 Cr,Ready to move,AGENT
1864,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,2256 ,"4,000", 90.24 L,Ready to move,AGENT
1865,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1992 ,"4,000", 79.68 L,Ready to move,AGENT
1866,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1991 ,"4,000", 79.64 L,Ready to move,AGENT
1867,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1894 ,"4,000", 75.76 L,Ready to move,AGENT
1868,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1895 ,"4,000", 75.8 L,Ready to move,AGENT
1869,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1859 ,"4,000", 74.36 L,Ready to move,AGENT
1870,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1763 ,"4,000", 70.52 L,Ready to move,AGENT
1871,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1706 ,"4,000", 68.24 L,Ready to move,AGENT
1872,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1437 ,"4,000", 57.48 L,Ready to move,AGENT
1873,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1350 ,"4,000", 54 L,Ready to move,AGENT
1874,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1185 ,"4,000", 47.4 L,Ready to move,AGENT
1875,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1927 ,"4,000", 77.08 L,Ready to move,AGENT
1876,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1895 ,"4,000", 75.8 L,Ready to move,AGENT
1877,ProptigerAGENT0,3 BHK,Apartment,Oragadam,Chennai,1859 ,"4,000", 74.36 L,Ready to move,AGENT
1878,ProptigerAGENT0,2 BHK,Apartment,Oragadam,Chennai,1763 ,"4,000", 70.52 L,Ready to move,AGENT
